index,name,platform,publisher,developer,cscore,uscore,date,genre
10276,Prison Break: The Conspiracy,Xbox360,DeepSilver,ZootFly,4.0,4.8,2010,Adventure
10277,MotionSports,Xbox360,Ubisoft,UbisoftMilan,4.0,4.0,2010,Sports
10278,CSI: Crime Scene Investigation: Fatal Conspiracy,PlayStation3,Ubisoft,TelltaleGames,3.9,5.6,2010,Adventure
10279,Attack of the Movies 3D,Wii,MajescoGames,"MajescoGames,Majesco",3.9,tbd,2010,Action
10280,Beyblade: Metal Fusion - Battle Fortress,Wii,HudsonEntertainment,HudsonSoft,3.9,tbd,2010,Action
10281,Dead or Alive Paradise,PlayStationPortable,Tecmo,"TeamNinja,Tecmo",3.8,5.8,2010,Action
10282,Attack of the Movies 3D,Xbox360,MajescoGames,PanicButton,3.8,1.7,2010,Action
10283,Naruto Shippuden: Dragon Blade Chronicles,Wii,TomyCorporation,"Eighting,TakaraTomy",3.8,3.2,2010,Action
10284,Making History II: The War of the World,PC,MuzzyLaneSoftware,MambaGames,3.8,8.4,2010,Strategy
10285,"Harry Potter and the Deathly Hallows, Part 1",PlayStation3,ElectronicArts,EABrightLight,3.8,3.0,2010,Action
10286,Pure Futbol,Xbox360,Ubisoft,UbisoftVancouver,3.8,7.9,2010,Sports
10287,"Harry Potter and the Deathly Hallows, Part 1",Xbox360,ElectronicArts,EABrightLight,3.8,4.8,2010,Action
10288,Quantum Theory,Xbox360,Tecmo,Tecmo,3.7,3.7,2010,Action
10289,"Harry Potter and the Deathly Hallows, Part 1",PC,ElectronicArts,EABrightLight,3.7,3.6,2010,Action
10290,Dead Space Ignition,PlayStation3,ElectronicArts,SumoDigital,3.6,3.9,2010,Puzzle
10291,Darkstar: The Interactive Movie,PC,ParallaxSoftware,ParallaxSoftware,3.6,6.3,2010,Action
10292,Kung Fu Rider,PlayStation3,SCEA,SCEJapanStudio,3.6,4.3,2010,Action
10293,Dream Chronicles,Xbox360,HudsonEntertainment,PlayFirst,3.6,tbd,2010,Miscellaneous
10294,Power Gig: Rise of the SixString,PlayStation3,Seven45Studios,Seven45Studios,3.6,2.4,2010,Action
10295,Power Gig: Rise of the SixString,Xbox360,Seven45Studios,Seven45Studios,3.6,2.1,2010,Action
10296,Deadliest Catch: Sea of Chaos,Xbox360,Crave,Crave,3.6,tbd,2010,Sports
10297,Beyblade: Metal Fusion,DS,HudsonEntertainment,HudsonSoft,3.6,tbd,2010,Action Adventure
10298,Dead Space Ignition,Xbox360,ElectronicArts,SumoDigital,3.5,4.6,2010,Miscellaneous
10299,Gormiti: The Lords of Nature!,Wii,Konami,"ClimaxGroup,ClimaxStudios",3.4,tbd,2010,Action
10300,Game Party: In Motion,Xbox360,WarnerBros.InteractiveEntertainment,FarsightStudios,3.3,3.7,2010,Sports
10301,Kick-Ass,PlayStation3,WHAEntertainment,FrozenCodebase,3.3,2.6,2010,Action
10302,Legend of the Guardians: The Owls of Ga'Hoole,DS,WarnerBros.InteractiveEntertainment,Tantatus,3.3,tbd,2010,Action
10303,MorphX,Xbox360,505Games,"BukaEntertainment,TargemGames",3.3,6.8,2010,Action
10304,Megamind: Ultimate Showdown,Xbox360,THQ,"THQAustralia,THQStudioAustralia",3.3,5.0,2010,Action
10305,Fighters Uncaged,Xbox360,Ubisoft,Ubisoft,3.2,4.6,2010,Action
10306,Dream Chronicles,PlayStation3,HudsonEntertainment,PlayFirst,3.1,tbd,2010,Miscellaneous
10307,5 Arcade Gems,Wii,Nordcurrent,Nordcurrent,3.0,tbd,2010,Miscellaneous
10308,Truth or Lies,Xbox360,THQ,THQ,2.8,5.2,2010,Miscellaneous
10309,Kung Fu Funk: Everybody is Kung Fu Fighting!,Wii,StickmenStudios,StickmenStudios,2.8,tbd,2010,Action
10310,Deca Sports Freedom,Xbox360,HudsonEntertainment,AI,2.6,3.7,2010,Sports
10311,Enjoy your massage!,Wii,Microforum,Microforum,2.1,0.1,2010,Simulation
10312,Bloons,Wii,Hands-OnMobile,Hands-OnMobile,2.1,3.3,2010,Miscellaneous
10313,Blood Beach,Wii,CoresoftInc.,CoresoftInc.,1.8,4.3,2010,Simulation
10314,Batman: Arkham City,PlayStation3,WarnerBros.InteractiveEntertainment,RocksteadyStudios,9.6,8.7,2011,Action Adventure
10315,The Elder Scrolls V: Skyrim,Xbox360,BethesdaSoftworks,BethesdaGameStudios,9.6,8.5,2011,Role-Playing
